graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
561,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0561,2.0043158531188965,41.92631530761719,1088.5364990234375,17.902807235717773,50,46,12,12.0,12
562,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0562,3.8776447772979736,29.092620849609375,1067.530517578125,20.861806869506836,50,45,12,12.0,12
563,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0563,2.1459665298461914,48.17718505859375,1119.542724609375,29.711883544921875,50,42,12,12.0,12
564,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0564,1.724233865737915,38.337467193603516,1147.853271484375,13.659407615661621,50,47,12,12.0,12
565,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0565,3.0123558044433594,30.42693519592285,1044.308837890625,18.717491149902344,50,45,12,12.0,12
566,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0566,0.1854541301727295,32.16280746459961,1083.46630859375,11.699379920959473,50,50,12,12.0,12
567,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0567,1.9615041017532349,30.87373161315918,1178.5128173828125,13.75063705444336,50,47,12,12.0,12
568,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0568,3.5923924446105957,37.87771224975586,1424.3363037109375,20.97871971130371,50,46,12,12.0,12
569,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0569,2.193809986114502,34.307247161865234,1421.9447021484375,30.673126220703125,50,42,12,12.0,12
570,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0570,2.670302391052246,28.723628997802734,1145.34765625,26.636310577392578,50,43,12,12.0,12
571,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0571,3.758253335952759,37.253944396972656,1478.6348876953125,26.86542510986328,50,45,12,12.0,12
